evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,biological_process,GAT,seq_only,homology,no_hit,Micro_AUPRC,612,ok,5,0.022602986987261396,0.007159399665745672,0.020066745051778,0.0158635073945144,0.0340606952450451
test,biological_process,GAT,seq_only,homology,no_hit,Micro_AUROC,612,ok,5,0.6900637559188185,0.023922114073221187,0.6917291854213689,0.65869034468788,0.7200791953640071
test,biological_process,GAT,seq_only,homology,no_hit,Micro_Fmax,612,ok,5,0.05671146194551775,0.017609328124474005,0.0522314883849254,0.0386857772709403,0.0803266293230346
test,biological_process,GAT,seq_only,homology,no_hit,Smin,612,ok,5,93.33931961111793,0.7283552202502322,93.60461692859872,92.05095349934452,93.77501921880736
test,biological_process,GAT,seq_only,ic,2-4_bits,Macro_AUPRC,10,ok,5,0.882891865079365,0.12417308056834048,0.8616815476190475,0.7018518518518518,1.0
test,biological_process,GAT,seq_only,ic,2-4_bits,Macro_AUROC,10,ok,5,0.7,0.32596012026013244,0.75,0.25,1.0
test,biological_process,GAT,seq_only,ic,2-4_bits,Macro_Fmax,10,ok,5,0.9407407406923045,0.0672811189779564,0.9629629629131689,0.8518518518057614,0.99999999995
test,biological_process,GAT,seq_only,ic,2-4_bits,Micro_AUPRC,10,ok,5,0.015641842747514838,0.0044686952476333235,0.0132621131677071,0.0126206009912301,0.0232008305284697
test,biological_process,GAT,seq_only,ic,2-4_bits,Micro_AUROC,10,ok,5,0.9076656007309273,0.016628467009864437,0.8989812699862951,0.8945957058017358,0.935034262220192
test,biological_process,GAT,seq_only,ic,2-4_bits,Micro_Fmax,10,ok,5,0.0555769468414681,0.017151509217767924,0.0499306518670054,0.0440636474860439,0.0854271356688467
test,biological_process,GAT,seq_only,ic,2-4_bits,Smin,10,ok,5,11.079417287458742,0.6056545297977194,10.808560347557068,10.808560347557068,12.16284504706544
test,biological_process,GAT,seq_only,ic,4-6_bits,Macro_AUPRC,16,ok,5,0.4005375512797388,0.08672410400960893,0.4107186072029821,0.2746765531921782,0.5173080536361787
test,biological_process,GAT,seq_only,ic,4-6_bits,Macro_AUROC,16,ok,5,0.40723214285714276,0.09176491044111197,0.4044642857142857,0.2919642857142857,0.5464285714285714
test,biological_process,GAT,seq_only,ic,4-6_bits,Macro_Fmax,16,ok,5,0.5812711940471592,0.057757282655296095,0.5774801586944067,0.5133928571080738,0.6727498195840345
test,biological_process,GAT,seq_only,ic,4-6_bits,Micro_AUPRC,16,ok,5,0.050674917578555946,0.07400921727092914,0.0199742895738675,0.0133416115825836,0.1829524477853717
test,biological_process,GAT,seq_only,ic,4-6_bits,Micro_AUROC,16,ok,5,0.8869137337928992,0.035708936556945035,0.8804858848437521,0.8568642036810147,0.9430584633716156
test,biological_process,GAT,seq_only,ic,4-6_bits,Micro_Fmax,16,ok,5,0.10081514174906192,0.10046413825741435,0.0678513731629952,0.0406403940806462,0.2790697674087615
test,biological_process,GAT,seq_only,ic,4-6_bits,Smin,16,ok,5,27.662937463820242,3.1370679835040955,29.06587691605091,22.051179654897563,29.06587691605091
test,biological_process,GAT,seq_only,ic,>=6_bits,Macro_AUPRC,522,ok,5,0.12275248827629026,0.018067313935017783,0.1302005143260952,0.1005820244717628,0.1400848948032942
test,biological_process,GAT,seq_only,ic,>=6_bits,Macro_AUROC,522,ok,5,0.6536946159988902,0.029453115489603686,0.6469371252496622,0.6191503878699486,0.6987878900488421
test,biological_process,GAT,seq_only,ic,>=6_bits,Macro_Fmax,522,ok,5,0.22787968482238125,0.024722797723813462,0.2336526772181441,0.1935221253684131,0.2603448516043097
test,biological_process,GAT,seq_only,ic,>=6_bits,Micro_AUPRC,522,ok,5,0.0345421943403349,0.010286404521210444,0.0334173869175119,0.0246200659742787,0.049137910813448
test,biological_process,GAT,seq_only,ic,>=6_bits,Micro_AUROC,522,ok,5,0.7054689286923644,0.025265722949909437,0.6987478305130862,0.6747910123021157,0.7364804000094275
test,biological_process,GAT,seq_only,ic,>=6_bits,Micro_Fmax,522,ok,5,0.08172709911783034,0.022370513991606993,0.0835823856655791,0.0549781508217619,0.1094128376547608
test,biological_process,GAT,seq_only,ic,>=6_bits,Smin,522,ok,5,144.4562136022888,0.9377954840938763,144.8724499764518,142.78719888964096,144.96263959823858
test,biological_process,GAT,seq_only,ic,no_positive_terms,Macro_AUPRC,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,ic,no_positive_terms,Macro_AUROC,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,ic,no_positive_terms,Macro_Fmax,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,ic,no_positive_terms,Micro_AUPRC,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,ic,no_positive_terms,Micro_AUROC,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,ic,no_positive_terms,Micro_Fmax,206,no positive terms,0,,,,,
test,biological_process,GAT,seq_only,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,GAT,struct_only,homology,30-40%,Macro_AUPRC,80,ok,5,0.23501009638474227,0.00861295517565212,0.2349859476850492,0.2220122201458739,0.2431839325623873
test,biological_process,GAT,struct_only,homology,30-40%,Macro_AUROC,80,ok,5,0.49193147505821855,0.022346816124301342,0.497712489174664,0.4674598377442693,0.51533041486935
test,biological_process,GAT,struct_only,homology,30-40%,Macro_Fmax,80,ok,5,0.2966769782889811,0.005128737875284664,0.2935454222207995,0.2925996992314463,0.3029009027314633
test,biological_process,GAT,struct_only,homology,30-40%,Micro_AUPRC,80,ok,5,0.10312719263405148,0.051754730645627516,0.0830934499898646,0.0731079313728841,0.1952714068501547
test,biological_process,GAT,struct_only,homology,30-40%,Micro_AUROC,80,ok,5,0.8586987243883358,0.012136035858030917,0.8641487476976308,0.8425050515136653,0.8694549932177855
test,biological_process,GAT,struct_only,homology,30-40%,Micro_Fmax,80,ok,5,0.18243573970545396,0.048844384102000225,0.1795821211067039,0.1284185493015986,0.2573454913409763
test,biological_process,GAT,struct_only,homology,30-40%,Smin,80,ok,5,124.5814477533102,0.0,124.5814477533102,124.5814477533102,124.5814477533102
test,biological_process,GAT,struct_only,homology,40-60%,Macro_AUPRC,5,low support,5,0.45925925925925926,0.07647722165520117,0.4333333333333333,0.3944444444444444,0.5703703703703704
test,biological_process,GAT,struct_only,homology,40-60%,Macro_AUROC,5,low support,5,0.4805555555555555,0.09347954816924352,0.4444444444444444,0.4027777777777778,0.6388888888888888
test,biological_process,GAT,struct_only,homology,40-60%,Macro_Fmax,5,low support,5,0.3881481481177136,0.06254764987153401,0.3703703703407408,0.3333333333055556,0.4962962962610988
test,biological_process,GAT,struct_only,homology,40-60%,Micro_AUPRC,5,low support,5,0.0059890146819340006,0.0034435475154415626,0.0051664041652707,0.0019890055912152,0.0109953574185952
test,biological_process,GAT,struct_only,homology,40-60%,Micro_AUROC,5,low support,5,0.8184789663705325,0.038843936678397153,0.8109052371100564,0.7768447527483673,0.878027260557381
test,biological_process,GAT,struct_only,homology,40-60%,Micro_Fmax,5,low support,5,0.034704798917913705,0.030812592932474778,0.0243902438920657,0.0067340067310223,0.0869565217164461
test,biological_process,GAT,struct_only,homology,40-60%,Smin,5,low support,5,9.304397249221802,0.0,9.304397249221802,9.304397249221802,9.304397249221802
test,biological_process,GAT,struct_only,homology,<30%,Macro_AUPRC,26,ok,5,0.5001131560645221,0.041027235993858754,0.495634354876231,0.4580696133321224,0.5666488351285491
test,biological_process,GAT,struct_only,homology,<30%,Macro_AUROC,26,ok,5,0.5095086898395722,0.05420895075774915,0.533886660724896,0.4430982620320856,0.5571059863339275
test,biological_process,GAT,struct_only,homology,<30%,Macro_Fmax,26,ok,5,0.6026560787663944,0.022263618504613704,0.5954104370330154,0.5746005409457895,0.6263719098008035
test,biological_process,GAT,struct_only,homology,<30%,Micro_AUPRC,26,ok,5,0.044286561295888136,0.026297599286503763,0.039300783347821,0.0220288382994311,0.0892875986177202
test,biological_process,GAT,struct_only,homology,<30%,Micro_AUROC,26,ok,5,0.8361196538800705,0.021549780090886955,0.8489020510118674,0.8048908636744089,0.8524070617732341
test,biological_process,GAT,struct_only,homology,<30%,Micro_Fmax,26,ok,5,0.10677096343256405,0.04913242805038326,0.1001236093736807,0.0539223152976013,0.1871275327422111
test,biological_process,GAT,struct_only,homology,<30%,Smin,26,ok,5,71.63857625539487,0.0,71.63857625539487,71.63857625539487,71.63857625539487
test,biological_process,GAT,struct_only,homology,>=60%,Macro_AUPRC,31,ok,5,0.6389736808730879,0.022432461902877402,0.6296202395012094,0.617902156667274,0.6755128814213595
test,biological_process,GAT,struct_only,homology,>=60%,Macro_AUROC,31,ok,5,0.5078179451978209,0.01590395617846948,0.5070072286861433,0.4932293963808943,0.5337641348664525
