evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,cellular_component,Hybrid,seq_only,homology,40-60%,Smin,5,low support,5,37.13507595900877,3.1083885967711624,37.07108849704135,32.89105930416521,40.86636939048767
test,cellular_component,Hybrid,seq_only,homology,<30%,Smin,26,ok,5,3.0898265574745905,0.3566765601660405,3.2527811878042505,2.518836468458176,3.370089729272255
test,cellular_component,Hybrid,seq_only,homology,>=60%,Smin,31,ok,5,20.145235663512967,9.669708168393962,16.50586833107856,14.11002501126483,37.32070345407348
test,cellular_component,Hybrid,seq_only,homology,no_hit,Smin,612,ok,5,25.183353912766968,0.9915161036790863,24.86803239684672,23.980318050367767,26.4385076895314
test,cellular_component,Hybrid,seq_only,ic,2-4_bits,Smin,71,ok,5,10.305959318662847,0.8867372123603628,10.679084571203836,9.1620504445321,11.164225198573616
test,cellular_component,Hybrid,seq_only,ic,4-6_bits,Smin,89,ok,5,23.75239141954333,1.3863497690179996,23.09438520425613,22.420746225709586,25.88713439037767
test,cellular_component,Hybrid,seq_only,ic,<2_bits,Smin,22,ok,5,2.182723558031677,0.4191587952634977,2.1371871138512506,1.7717043108059116,2.8596744173499005
test,cellular_component,Hybrid,seq_only,ic,>=6_bits,Smin,341,ok,5,44.417316700876164,1.865960037654427,44.07289516436485,42.23109720867579,46.6917473054412
test,cellular_component,Hybrid,seq_only,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,Hybrid,struct_only,homology,30-40%,Smin,80,ok,5,828.8497670550802,170.8673905311035,811.492127556686,667.7297586564371,1080.1022485206984
test,cellular_component,Hybrid,struct_only,homology,40-60%,Smin,5,low support,5,823.1471702677784,177.7922651030075,818.9912687847903,652.4325141131782,1074.6752836411
test,cellular_component,Hybrid,struct_only,homology,<30%,Smin,26,ok,5,837.9389053185569,173.17493858798784,823.2397432289412,676.8192527222853,1094.7056774098646
test,cellular_component,Hybrid,struct_only,homology,>=60%,Smin,31,ok,5,793.4634617849842,152.28099110481466,822.7651332241985,629.4422413246996,1011.0577390487498
test,cellular_component,Hybrid,struct_only,homology,no_hit,Smin,612,ok,5,825.4323312830069,172.95098201656685,815.2833645369308,661.8657327186879,1075.588681671578
test,cellular_component,Hybrid,struct_only,ic,2-4_bits,Smin,71,ok,5,831.8683404468171,172.74316965079404,817.3180190246228,670.4623462704795,1086.231827390278
test,cellular_component,Hybrid,struct_only,ic,4-6_bits,Smin,89,ok,5,830.9064582785534,172.7304829070839,816.6117673282996,666.7590795547642,1085.1396848305983
test,cellular_component,Hybrid,struct_only,ic,<2_bits,Smin,22,ok,5,838.4894620661829,173.89117315396172,824.4959657917559,676.412436348748,1096.5100365981036
test,cellular_component,Hybrid,struct_only,ic,>=6_bits,Smin,341,ok,5,812.8615444175379,171.33350743685335,808.4652639297242,650.0082242620906,1054.299826381929
test,cellular_component,Hybrid,struct_only,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,Hybrid_JK,full,homology,30-40%,Smin,80,ok,5,21.78639162310329,2.3134057465650706,20.44937924218803,20.19674403963065,25.537474797727853
test,cellular_component,Hybrid_JK,full,homology,40-60%,Smin,5,low support,5,38.904034897696945,1.9199521203219467,38.47887909166643,36.37770203368489,40.83313802597087
test,cellular_component,Hybrid_JK,full,homology,<30%,Smin,26,ok,5,3.002490794360327,0.40933379855890745,3.176714191382174,2.518836468458176,3.370089729272255
test,cellular_component,Hybrid_JK,full,homology,>=60%,Smin,31,ok,5,32.84417842447965,23.650166040262214,18.642512701941826,16.009846847674567,69.98124877108239
test,cellular_component,Hybrid_JK,full,homology,no_hit,Smin,612,ok,5,25.99757473140865,0.6506642121813287,25.834008551806807,25.4630388231945,27.12440949568951
test,cellular_component,Hybrid_JK,full,ic,2-4_bits,Smin,71,ok,5,11.600984592276069,1.7042677815840976,11.420518203731048,9.336004037669412,14.1146402560635
test,cellular_component,Hybrid_JK,full,ic,4-6_bits,Smin,89,ok,5,25.149722030209738,0.7116345782099557,25.06035658829165,24.346949656574736,26.15031951725121
test,cellular_component,Hybrid_JK,full,ic,<2_bits,Smin,22,ok,5,1.7709222343373483,0.6099381330075379,1.8000285468291666,0.8946317240543193,2.549207931215113
test,cellular_component,Hybrid_JK,full,ic,>=6_bits,Smin,341,ok,5,47.365291305689944,5.037364178408092,44.68503401714206,43.2639579992068,54.32292779822916
test,cellular_component,Hybrid_JK,full,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,Hybrid_JK,seq_only,homology,30-40%,Smin,80,ok,5,23.583795190143505,2.1946428979135457,23.53464308276802,20.29702761203164,26.262851224492533
test,cellular_component,Hybrid_JK,seq_only,homology,40-60%,Smin,5,low support,5,36.18894974428254,0.9668160902703784,35.90496749897355,35.18888265478254,37.78221224916796
test,cellular_component,Hybrid_JK,seq_only,homology,<30%,Smin,26,ok,5,2.985726248773009,0.40880938004354644,3.2209030192379275,2.518836468458176,3.370089729272255
test,cellular_component,Hybrid_JK,seq_only,homology,>=60%,Smin,31,ok,5,30.921640023138128,22.853592769691634,14.652186213132516,14.015873508654275,56.78071909220413
test,cellular_component,Hybrid_JK,seq_only,homology,no_hit,Smin,612,ok,5,25.328927240299784,1.4432044564985766,25.681534485765408,22.91713786964493,26.81714046758138
test,cellular_component,Hybrid_JK,seq_only,ic,2-4_bits,Smin,71,ok,5,11.231167190268348,1.0524836024400674,11.541879100892336,10.045693794742322,12.6340800231027
test,cellular_component,Hybrid_JK,seq_only,ic,4-6_bits,Smin,89,ok,5,24.78973240943402,1.0920130511427721,25.24566583115918,23.475931810098203,25.821342860320453
test,cellular_component,Hybrid_JK,seq_only,ic,<2_bits,Smin,22,ok,5,2.1450327611141478,0.2984829146763015,2.1528668186704696,1.7081427719335196,2.549207931215113
test,cellular_component,Hybrid_JK,seq_only,ic,>=6_bits,Smin,341,ok,5,45.14256177209006,4.603393516912778,44.28603386757656,40.43954327296979,52.846366641528746
test,cellular_component,Hybrid_JK,seq_only,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
