trial,ontology,learning_rate,weight_decay,dropout,hidden_dim,batch_size,gradient_clip,patience,loss,focal_gamma,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin
trial_018,biological_process,4.5335193486380115e-05,4.60584445727266e-05,0.4,256,64,0.5,10,BCE,,0.26120583582312146,0.2618980468028703,0.17937604532244417,0.19197405670909234,0.7944358896010416,0.6972863067408286,41.763601983826796
trial_018,cellular_component,4.5335193486380115e-05,4.60584445727266e-05,0.4,256,64,0.5,10,BCE,,0.34564202605679084,0.29120202007572293,0.24335973693918678,0.19732129004833465,0.7146025368424386,0.5943797078705227,32.04046968478969
trial_018,molecular_function,4.5335193486380115e-05,4.60584445727266e-05,0.4,256,64,0.5,10,BCE,,0.22448755891652292,0.3100472188608336,0.1650182263498035,0.22960356102776583,0.7870634117988584,0.7224037415120708,26.927573514598613
trial_019,biological_process,0.0004093933713250302,0.004459883829081874,0.0,256,32,1.0,8,BCE,,0.34534082812083644,0.28377640670887455,0.272419192064587,0.22500392884074363,0.7906492464196014,0.6748251419962441,38.81806437030312
trial_019,cellular_component,0.0004093933713250302,0.004459883829081874,0.0,256,32,1.0,8,BCE,,0.4223460624880814,0.337101249166618,0.3384679362193075,0.24987104935193985,0.758908270333629,0.6507301099934507,29.117720029236505
trial_019,molecular_function,0.0004093933713250302,0.004459883829081874,0.0,256,32,1.0,8,BCE,,0.3382755474447561,0.34128664833223044,0.2573607981545929,0.26611092305137296,0.7747976173972659,0.723945467674936,25.78657662793251
trial_020,biological_process,1.2237669553639244e-05,6.0261989029387036e-06,0.1,256,32,0.5,8,BCE,,0.12333005203157613,0.1969426755601322,0.05854078001109679,0.1267493809953849,0.680393807833813,0.6373671198718234,47.56354912081177
trial_020,cellular_component,1.2237669553639244e-05,6.0261989029387036e-06,0.1,256,32,0.5,8,BCE,,0.2908810541804967,0.25405214724980196,0.19862864968760974,0.17677675016973493,0.7143575381553962,0.5736909504084959,33.110070332369204
trial_020,molecular_function,1.2237669553639244e-05,6.0261989029387036e-06,0.1,256,32,0.5,8,BCE,,0.25738930419731576,0.28874620806055407,0.18760104616073348,0.20921221087186645,0.7588484799646147,0.7018181344274583,26.5212338271778
trial_021,biological_process,1.961154488169495e-05,0.00046102390178830383,0.0,512,64,0.5,9,BCE,,0.2664809656448499,0.264621927858363,0.17527474747671146,0.197735920052698,0.7591982482368267,0.6776508612336958,41.50943390910528
trial_021,cellular_component,1.961154488169495e-05,0.00046102390178830383,0.0,512,64,0.5,9,BCE,,0.3675353814285647,0.34067215961762626,0.26878397226917966,0.25971092625180536,0.6986946646761083,0.6575667439788813,30.45591177933768
trial_021,molecular_function,1.961154488169495e-05,0.00046102390178830383,0.0,512,64,0.5,9,BCE,,0.3399618632520475,0.3206237694591547,0.2478105791296986,0.2568389223688539,0.7694619826889855,0.7275924218161396,25.3985849702203
trial_022,biological_process,1.0397814970120562e-05,0.0009814110547408097,0.4,512,16,1.0,9,Focal,3.0,0.27050069756580825,0.2762571908485123,0.22071464255869097,0.20632604928104933,0.8549826328473279,0.6999036314931125,41.00080160075912
trial_022,cellular_component,1.0397814970120562e-05,0.0009814110547408097,0.4,512,16,1.0,9,Focal,3.0,0.4368362656517472,0.349679452967698,0.3211770468511533,0.2639654612718425,0.7788231682849498,0.6243321171213876,30.49683494525727
trial_022,molecular_function,1.0397814970120562e-05,0.0009814110547408097,0.4,512,16,1.0,9,Focal,3.0,0.2500319570492379,0.3219359158416416,0.18361127365816368,0.24580654289459108,0.7879126669139871,0.7487695638056501,27.238412652186046
trial_023,biological_process,2.7983416755271612e-05,1.0483363548287232e-07,0.1,512,32,0.5,9,Focal,2.0,0.2651879751686544,0.28766073193609765,0.19172867976682492,0.21361897550680564,0.7961386842262395,0.6737145866195339,42.07927574891727
trial_023,cellular_component,2.7983416755271612e-05,1.0483363548287232e-07,0.1,512,32,0.5,9,Focal,2.0,0.46136808927456635,0.3692967828703182,0.39535136196440146,0.2908116908023021,0.7906820929396883,0.6648149717412669,28.658316579328694
trial_023,molecular_function,2.7983416755271612e-05,1.0483363548287232e-07,0.1,512,32,0.5,9,Focal,2.0,0.37164234024236176,0.3322537720890563,0.29120155144803256,0.2724169843890857,0.8209421260706364,0.7085492699177507,24.85716970130229
trial_024,biological_process,0.00018917076075962986,4.10592490974411e-05,0.2,256,16,5.0,9,BCE,,0.27951548604676046,0.2774231738982547,0.2136305470582871,0.20860414844243308,0.8278696686880989,0.7060364415869081,41.602420481017454
trial_024,cellular_component,0.00018917076075962986,4.10592490974411e-05,0.2,256,16,5.0,9,BCE,,0.24498476383904993,0.30360585213855534,0.14448004538507841,0.21345877969097973,0.6951162364758028,0.6186477620369261,33.96566870873622
trial_024,molecular_function,0.00018917076075962986,4.10592490974411e-05,0.2,256,16,5.0,9,BCE,,0.34012597258194516,0.3452211025060042,0.2544095769013508,0.26919593539914294,0.8554937096343304,0.8119016480711366,25.050626303381637
trial_025,biological_process,2.0304839058310506e-05,0.0027176831523297723,0.4,128,32,0.5,8,BCE,,0.14303410686223067,0.18340113635691319,0.06937263460170814,0.12203623697201318,0.7014627064021923,0.6531316202603865,46.95609727208984
